field,中文名称,类型,必填,允许值或单位,来源要求,用途
trial_id,试验唯一标识,text,yes,内部稳定ID,方案注册主论文映射,去重
publication_doi,主论文DOI,text,no,DOI,PubMed/Crossref核验,来源索引
registry_id,注册号,text,no,ClinicalTrials.gov/ISRCTN等,注册记录核验,来源索引
population_adult,成人总体标记,categorical,yes,yes/no/unclear,入组标准原文,纳入判定
icu_setting,ICU场景,text,yes,自由文本,论文或方案,范围核验
design_superiority,优效性设计标记,categorical,yes,yes/no/unclear,方案或注册,纳入判定
randomization_unit,随机化单位,categorical,yes,individual/cluster/other,方法原文,排除集群设计
primary_outcome_label,主要结局名称,text,yes,原文名称,方案/注册/主论文,结局配对
primary_outcome_timepoint,主要结局时间点,text,yes,原文时间点,方案/注册/主论文,结局配对
adverse_event_direction,不良事件方向,categorical,yes,higher_worse/higher_better/unclear,结局定义,方向标准化
p0_assumed,设计对照组事件率,numeric,yes,0-1,入组前设计来源,主误差
p1_assumed,设计干预组事件率,numeric,conditional,0-1,入组前设计来源,设计效应
effect_assumed_scale,设计效应尺度,categorical,yes,RR/RRR/absolute_difference/OR/HR/unclear,原文公式,尺度核验
effect_assumed_value,设计效应值,numeric,yes,按原文尺度,入组前设计来源,设计效应
target_analyzable_n,目标可分析样本量,integer,yes,正整数,设计计算原文,反事实MDE
target_randomized_n,含失访膨胀的目标入组人数,integer,yes,正整数,设计计算原文,入组核对
attrition_allowance,失访或不可分析预留,numeric,conditional,0-1,设计计算原文,区分分析量与入组量
target_power,目标功效,numeric,yes,0-1,设计计算原文,反事实MDE
alpha,显著性水平,numeric,yes,0-1,设计计算原文,反事实MDE
tail,单双侧,categorical,yes,one_sided/two_sided/unclear,设计计算原文,反事实MDE
allocation_ratio,分配比例,text,yes,原文比例,设计计算原文,反事实MDE
actual_randomized_n,实际随机化人数,integer,yes,正整数,CONSORT/结果表,入组核对
actual_primary_analysis_n,主要分析实际人数,integer,yes,正整数,主要结果分析,分母核对
n0_observed,观测对照组分母,integer,yes,正整数,结果表,观测CER
x0_observed,观测对照组事件数,integer,yes,非负整数,结果表,观测CER
n1_observed,观测干预组分母,integer,yes,正整数,结果表,观测效应
x1_observed,观测干预组事件数,integer,yes,非负整数,结果表,观测效应
effect_observed_value,观测效应值,numeric,yes,统一尺度或原始尺度,结果表/主要分析,观测效应
negative_primary,主要结果阴性标记,categorical,yes,yes/no/unclear,预先指定主要分析,阴性子集
recruitment_shortfall,入组不足标记,categorical,yes,yes/no/unclear,目标与实际人数,原因并存
design_recalculation_status,设计复算状态,categorical,yes,reproduced/failed/partial,独立复算记录,质量门禁
cer_error_pp,对照事件率有符号误差,numeric,conditional,百分点,由p0_assumed-p0_observed派生,主结果
counterfactual_mde_scale,反事实MDE尺度,categorical,conditional,absolute_difference/RR/RRR/OR/HR,沿用原设计尺度,尺度核验
counterfactual_mde_value,反事实最小可检出效应,numeric,conditional,按原设计尺度,固定公式重算,主结果伴随量
mde_to_assumed_effect_ratio,MDE与原假设效应之比,numeric,conditional,正数,同尺度派生,跨试验比较
control_event_rate_compromised,基线风险相关功效受损标记,categorical,conditional,yes/no/unclear,由协议规则派生,阴性解释边界
agent_disagreement_status,双agent分歧状态,categorical,yes,none/adjudication_required/resolved,分歧日志,质控
