"section","measure","value"
"Analysis set","Formal eligible trials","100"
"Analysis set","Design recalculation reproduced","43"
"Analysis set","Design recalculation partial","45"
"Analysis set","Design recalculation failed","12"
"CER assumption error","CER-pairable trials","65"
"CER assumption error","CER overestimated","47"
"CER assumption error","CER underestimated","18"
"CER assumption error","CER equal","0"
"CER assumption error","CER signed error median (percentage points)","4.487179"
"CER assumption error","CER signed error Q1 (percentage points)","-0.533866"
"CER assumption error","CER signed error Q3 (percentage points)","12.951807"
"CER assumption error","CER signed error range (percentage points)","-37.567568 to 54.666667"
"Counterfactual MDE","MDE-estimable trials","42"
"Counterfactual MDE","MDE/assumed effect median","0.980555"
"Counterfactual MDE","MDE/assumed effect Q1","0.887260"
"Counterfactual MDE","MDE/assumed effect Q3","1.047246"
"Counterfactual MDE","MDE/assumed effect range","0.558036 to 2.755234"
"Negative primary results","Primary result negative","69"
"Negative primary results","Negative primary result with classifiable MDE","31"
"Negative primary results","CER-compromised negative trials","8"
"Negative primary results","CER-compromised fraction among classifiable negative trials","8/31 (25.8%)"
